average_funded,total_rounds,average_participants,products_number,offices,mba_degree,other_degree,age,ipo_True,is_closed_True,is_acquired_True
191500.0,2,0.0,1.0,1.0,1.0,2.0,3287.0,0,0,0
500000.0,3,0.0,1.0,2.0,1.0,1.0,1118.0,0,0,0
300000.0,1,0.0,1.0,1.0,1.0,3.0,398.0,0,0,0
7542266.0,1,0.0,1.0,1.0,3.0,3.0,6209.0,0,0,0
1400000.0,4,2.25,1.0,1.0,2.0,4.0,968.0,0,0,1
3700000.0,1,3.0,1.0,1.0,1.0,3.0,5479.0,0,0,0
500000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
681350.0,1,1.0,1.0,2.0,1.0,3.0,1492.0,0,0,0
10582851.2,10,2.0,1.0,2.0,6.0,15.0,2922.0,0,0,0
4000000.0,2,1.5,2.0,2.0,1.0,3.0,1706.0,0,0,0
20000.0,1,1.0,3.0,1.0,1.0,1.0,1720.0,0,1,0
155000.0,1,0.0,1.0,1.0,1.0,1.0,731.0,0,0,0
1119267.5,2,2.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,1.0,1.0,3.0,1.0,1.0,1826.0,0,0,0
4561.0,1,0.0,1.0,1.0,1.0,1.0,1332.0,0,0,0
1308711.0,4,1.0,1.0,1.0,1.0,4.0,1942.0,0,0,0
50000.0,1,1.0,1.0,1.0,1.0,3.0,763.0,0,0,0
1960000.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
22500.0,2,1.5,1.0,2.0,1.0,3.0,548.0,0,0,0
707750.0,1,1.0,1.0,1.0,1.0,3.0,899.0,0,0,0
376256.0,1,0.0,1.0,1.0,1.0,3.0,5114.0,0,0,0
1200000.0,1,7.0,1.0,1.0,1.0,2.0,1402.0,0,0,0
100000.0,1,0.0,1.0,1.0,1.0,3.0,731.0,0,0,0
1960000.0,1,0.0,1.0,1.0,1.0,3.0,184.0,0,0,0
1260000.0,1,2.0,1.0,1.0,1.0,6.0,1583.0,0,0,0
4000000.0,1,3.0,1.0,1.0,1.0,3.0,4383.0,0,1,0
10000000.0,1,2.0,1.0,1.0,2.0,12.0,2877.0,0,0,1
19750000.0,4,6.75,1.0,3.0,1.0,5.0,6209.0,0,0,0
37134206.0,1,1.0,1.0,1.0,1.0,3.0,6940.0,0,0,0
500000.0,1,0.0,1.0,1.0,1.0,3.0,3287.0,0,0,0
261620.0,1,1.0,1.0,1.0,1.0,3.0,792.0,0,0,0
2500000.0,2,2.5,1.0,1.0,1.0,2.0,1461.0,0,0,0
1250000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,2.0,1.0,1.0,1.0,1.0,1065.0,0,0,0
20000000.0,1,4.0,1.0,1.0,1.0,3.0,2922.0,0,0,0
615000.0,1,3.0,1.0,2.0,1.0,3.0,2922.0,0,0,0
2940000.0,1,1.0,3.0,1.0,1.0,1.0,1880.0,0,0,1
15000000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
600000.0,1,1.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
48654782.0,2,0.5,1.0,1.0,2.0,6.0,1826.0,0,0,1
28750000.0,1,3.0,1.0,1.0,1.0,3.0,3469.0,0,0,1
12000000.0,1,5.0,1.0,1.0,2.0,7.0,1693.0,0,0,1
2330000.0,1,1.0,1.0,1.0,4.0,8.0,3051.0,0,0,1
2340000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,1,0
1325000.0,1,0.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
